"","Year","Month","Treatment","Plot","prevalence_within_plot","total_leaves","total_infected"
"1059","18","November","CR_P","14",0.206896551724138,58,12
"1060","18","November","CR_P","15",0.253968253968254,63,16
"1061","18","November","CR_P","17",0.0566037735849057,53,3
"1062","18","November","CR_P","18",0.345454545454545,55,19
"1063","18","November","CR_P","25",0.283018867924528,53,15
"1064","18","November","CR_P","26",0.102040816326531,49,5
"1065","18","November","CR_P","28",0.254237288135593,59,15
"1066","18","November","CR_P","34",0.172413793103448,58,10
"1067","18","November","CR_P","35",0.277777777777778,54,15
"1068","18","November","CR_P","37",0.121951219512195,41,5
"1069","18","November","CR_P","39",0.245614035087719,57,14
"1070","18","November","CR_P","47",0.153846153846154,52,8
"1071","18","November","CR_P","51",0.3125,48,15
"1072","18","November","CR_P","61",0.166666666666667,36,6
"1073","18","November","CRP","3",0.152542372881356,59,9
"1074","18","November","CRP","5",0.0634920634920635,63,4
"1075","18","November","CRP","8",0.298245614035088,57,17
"1076","18","November","CRP","9",0.2,65,13
"1077","18","November","CRP","24",0.290909090909091,55,16
"1078","18","November","CRP","27",0.254237288135593,59,15
"1079","18","November","CRP","32",0.113207547169811,53,6
"1080","18","November","CRP","33",0.290909090909091,55,16
"1081","18","November","CRP","41",0.2,55,11
"1082","18","November","CRP","42",0.0847457627118644,59,5
"1083","18","November","CRP","45",0.0344827586206897,58,2
"1084","18","November","CRP","48",0.150943396226415,53,8
"1085","18","November","CRP","49",0.196078431372549,51,10
"1086","18","November","CRP","58",0.142857142857143,49,7
"1087","18","November","CRP","60",0.178571428571429,56,10
"1088","18","November","CRP","64",0.0714285714285714,56,4
"1089","18","October","Always_sprayed","4",0.604651162790698,86,52
"1090","18","October","Always_sprayed","10",0.585714285714286,70,41
"1091","18","October","Always_sprayed","11",0.318840579710145,69,22
"1092","18","October","Always_sprayed","19",0.378378378378378,74,28
"1093","18","October","Always_sprayed","21",0.555555555555556,72,40
"1094","18","October","Always_sprayed","22",0.658823529411765,85,56
"1095","18","October","Always_sprayed","31",0.444444444444444,63,28
"1096","18","October","Always_sprayed","36",0.22972972972973,74,17
